163,99,4,6
91,57,5,6
176,53,6,6
162,100,4,6
91,57,5,6
176,55,6,6
162,94,4,6
91,58,5,6
176,54,6,6
159,97,4,6
92,58,5,6
177,52,6,6
160,100,4,6
91,58,5,6
176,53,6,6
158,100,4,6
89,58,5,6
177,55,6,6
163,99,4,6
92,56,5,6
175,55,6,6
163,95,4,6
92,57,5,6
174,53,6,6
161,100,4,6
91,57,5,6
174,56,6,6
163,100,4,6
92,57,5,6
175,54,6,6
160,98,4,6
90,59,5,6
176,55,6,6
166,97,4,6
91,57,5,6
176,55,6,6
163,99,4,6
92,57,5,6
177,57,6,6
163,97,4,6
94,59,5,6
178,54,6,6
165,97,4,6
93,59,5,6
176,55,6,6
164,100,4,6
91,59,5,6
174,57,6,6
164,100,4,6
90,58,5,6
178,54,6,6
163,96,4,6
87,57,5,6
177,55,6,6
163,98,4,6
93,59,5,6
178,54,6,6
161,99,4,6
91,57,5,6
178,53,6,6
162,96,4,6
93,55,5,6
176,54,6,6
163,99,4,6
88,57,5,6
176,55,6,6
165,98,4,6
92,56,5,6
176,56,6,6
162,97,4,6
90,59,5,6
177,57,6,6
160,97,4,6
90,59,5,6
174,54,6,6
160,100,4,6
92,58,5,6
176,53,6,6
164,97,4,6
92,57,5,6
175,54,6,6
163,98,4,6
90,58,5,6
173,53,6,6
161,100,4,6
90,59,5,6
175,56,6,6
162,99,4,6
89,55,5,6
176,56,6,6
165,101,4,6
90,58,5,6
177,56,6,6
162,98,4,6
91,59,5,6
177,55,6,6
162,97,4,6
92,56,5,6
178,55,6,6
161,99,4,6
90,59,5,6
177,56,6,6
164,99,4,6
92,58,5,6
173,53,6,6
160,98,4,6
88,59,5,6
176,55,6,6
163,97,4,6
90,58,5,6
176,56,6,6
162,97,4,6
92,59,5,6
175,54,6,6
163,99,4,6
92,58,5,6
177,57,6,6
160,98,4,6
90,57,5,6
177,56,6,6
162,98,4,6
92,57,5,6
176,55,6,6
161,100,4,6
92,58,5,6
178,56,6,6
161,99,4,6
91,57,5,6
177,55,6,6
161,97,4,6
92,59,5,6
178,56,6,6
163,101,4,6
93,57,5,6
177,55,6,6
161,99,4,6
88,57,5,6
176,60,6,6
162,97,4,6
91,59,5,6
176,55,6,6
162,97,4,6
91,56,5,6
177,55,6,6
164,96,4,6
89,58,5,6
175,53,6,6
162,100,4,6
90,59,5,6
176,51,6,6
164,101,4,6
91,59,5,6
176,52,6,6
161,99,4,6
93,57,5,6
175,54,6,6
162,98,4,6
92,59,5,6
177,56,6,6
164,98,4,6
92,58,5,6
176,54,6,6
160,98,4,6
91,57,5,6
177,56,6,6
160,96,4,6
90,56,5,6
178,55,6,6
163,100,4,6
91,58,5,6
177,53,6,6
162,98,4,6
89,58,5,6
176,56,6,6
160,100,4,6
88,56,5,6
176,52,6,6
165,99,4,6
91,58,5,6
173,51,6,6
158,98,4,6
90,58,5,6
179,53,6,6
162,99,4,6
91,59,5,6
175,56,6,6
163,101,4,6
89,58,5,6
175,57,6,6
163,98,4,6
92,59,5,6
176,52,6,6
158,98,4,6
91,58,5,6
174,56,6,6
165,98,4,6
90,58,5,6
179,56,6,6
160,98,4,6
91,59,5,6
176,52,6,6
162,96,4,6
90,57,5,6
175,57,6,6
163,97,4,6
90,58,5,6
178,55,6,6
162,98,4,6
92,56,5,6
174,56,6,6
162,99,4,6
87,57,5,6
174,53,6,6
160,100,4,6
91,56,5,6
176,56,6,6
164,99,4,6
91,58,5,6
178,55,6,6
159,101,4,6
89,58,5,6
175,53,6,6
161,96,4,6
92,59,5,6
177,56,6,6
162,101,4,6
91,58,5,6
179,54,6,6
162,99,4,6
89,60,5,6
176,54,6,6
164,101,4,6
91,61,5,6
176,53,6,6
162,99,4,6
90,58,5,6
176,55,6,6
161,99,4,6
91,59,5,6
177,53,6,6
159,98,4,6
91,59,5,6
175,54,6,6
161,99,4,6
90,59,5,6
176,55,6,6
160,96,4,6
89,56,5,6
177,56,6,6
162,97,4,6
90,58,5,6
179,56,6,6
165,98,4,6
90,59,5,6
176,56,6,6
162,99,4,6
91,56,5,6
177,54,6,6
161,99,4,6
93,58,5,6
179,53,6,6
159,99,4,6
92,58,5,6
176,56,6,6
161,96,4,6
90,58,5,6
176,51,6,6
162,100,4,6
92,59,5,6
177,56,6,6
164,100,4,6
93,58,5,6
178,55,6,6
167,100,4,6
92,57,5,6
176,55,6,6
162,100,4,6
91,59,5,6
176,56,6,6
161,97,4,6
90,59,5,6
177,55,6,6
162,98,4,6
91,59,5,6
177,53,6,6
163,100,4,6
91,57,5,6
175,53,6,6
161,98,4,6
91,57,5,6
179,57,6,6
163,100,4,6
91,60,5,6
172,59,6,6
160,99,4,6
89,58,5,6
178,52,6,6
162,99,4,6
90,57,5,6
174,53,6,6
161,94,4,6
92,56,5,6
174,54,6,6
161,97,4,6
90,56,5,6
175,57,6,6
160,95,4,6
89,59,5,6
178,54,6,6
162,98,4,6
90,56,5,6
176,59,6,6
161,98,4,6
91,56,5,6
175,54,6,6
162,97,4,6
93,59,5,6
176,52,6,6
162,97,4,6
90,58,5,6
179,55,6,6
162,97,4,6
91,57,5,6
175,58,6,6
164,99,4,6
90,57,5,6
178,55,6,6
159,96,4,6
88,58,5,6
177,54,6,6
163,99,4,6
90,58,5,6
175,53,6,6
163,99,4,6
92,59,5,6
178,54,6,6
163,94,4,6
91,56,5,6
176,55,6,6
161,102,4,6
92,59,5,6
178,55,6,6
163,96,4,6
90,56,5,6
178,56,6,6
160,96,4,6
92,54,5,6
177,57,6,6
162,99,4,6
91,57,5,6
174,53,6,6
160,97,4,6
91,57,5,6
174,56,6,6
163,100,4,6
90,58,5,6
176,57,6,6
160,98,4,6
89,59,5,6
175,51,6,6
161,96,4,6
92,56,5,6
175,55,6,6
162,100,4,6
92,59,5,6
176,54,6,6
162,97,4,6
92,56,5,6
175,52,6,6
160,99,4,6
92,58,5,6
177,53,6,6
164,98,4,6
89,60,5,6
178,54,6,6
160,99,4,6
92,57,5,6
173,55,6,6
162,97,4,6
92,58,5,6
176,55,6,6
163,98,4,6
91,58,5,6
175,53,6,6
160,99,4,6
91,56,5,6
179,53,6,6
163,98,4,6
91,56,5,6
179,57,6,6
162,98,4,6
89,58,5,6
176,57,6,6
164,99,4,6
90,55,5,6
177,52,6,6
161,97,4,6
91,56,5,6
177,55,6,6
162,98,4,6
92,59,5,6
175,53,6,6
162,97,4,6
92,58,5,6
176,55,6,6
164,97,4,6
91,56,5,6
177,55,6,6
161,98,4,6
92,59,5,6
176,56,6,6
161,100,4,6
89,58,5,6
175,55,6,6
163,96,4,6
93,59,5,6
176,55,6,6
164,102,4,6
88,60,5,6
175,55,6,6
162,96,4,6
90,57,5,6
177,54,6,6
163,99,4,6
90,58,5,6
175,53,6,6
162,99,4,6
91,58,5,6
178,53,6,6
162,99,4,6
89,59,5,6
177,51,6,6
164,97,4,6
92,57,5,6
176,54,6,6
161,99,4,6
90,55,5,6
179,54,6,6
160,98,4,6
90,57,5,6
175,53,6,6
163,99,4,6
89,54,5,6
174,56,6,6
160,98,4,6
92,55,5,6
175,55,6,6
162,96,4,6
93,57,5,6
175,54,6,6
164,99,4,6
89,57,5,6
176,54,6,6
160,101,4,6
91,56,5,6
178,55,6,6
163,96,4,6
91,57,5,6
175,55,6,6
161,100,4,6
90,56,5,6
179,54,6,6
160,98,4,6
92,56,5,6
177,54,6,6
164,99,4,6
92,58,5,6
176,53,6,6
161,98,4,6
93,57,5,6
177,58,6,6
161,97,4,6
90,59,5,6
175,57,6,6
161,98,4,6
91,59,5,6
176,53,6,6
163,99,4,6
90,58,5,6
176,53,6,6
160,101,4,6
91,60,5,6
174,56,6,6
161,97,4,6
91,57,5,6
178,57,6,6
163,97,4,6
86,59,5,6
177,55,6,6
160,97,4,6
91,58,5,6
178,52,6,6
165,99,4,6
90,56,5,6
175,55,6,6
162,100,4,6
90,56,5,6
175,56,6,6
161,100,4,6
93,57,5,6
177,55,6,6
161,97,4,6
90,56,5,6
176,54,6,6
160,98,4,6
92,56,5,6
176,55,6,6
161,99,4,6
93,58,5,6
174,54,6,6
163,98,4,6
91,58,5,6
175,54,6,6
160,101,4,6
90,56,5,6
174,54,6,6
161,100,4,6
93,59,5,6
178,56,6,6
161,100,4,6
92,55,5,6
176,53,6,6
160,99,4,6
91,58,5,6
177,55,6,6
163,100,4,6
91,56,5,6
179,54,6,6
161,96,4,6
92,56,5,6
177,54,6,6
162,99,4,6
93,56,5,6
176,54,6,6
160,99,4,6
91,61,5,6
179,57,6,6
163,98,4,6
91,59,5,6
177,57,6,6
162,99,4,6
90,59,5,6
178,55,6,6
162,98,4,6
89,60,5,6
177,54,6,6
162,100,4,6
91,58,5,6
177,54,6,6
164,98,4,6
93,58,5,6
176,58,6,6
160,98,4,6
95,58,5,6
175,54,6,6
164,98,4,6
91,57,5,6
177,54,6,6
162,95,4,6
92,56,5,6
174,56,6,6
163,100,4,6
91,57,5,6
174,53,6,6
163,101,4,6
91,58,5,6
176,55,6,6
165,97,4,6
90,59,5,6
177,54,6,6
161,99,4,6
89,58,5,6
175,54,6,6
163,99,4,6
91,56,5,6
178,55,6,6
163,98,4,6
91,56,5,6
176,54,6,6
162,97,4,6
90,56,5,6
176,53,6,6
163,100,4,6
93,57,5,6
178,55,6,6
161,99,4,6
95,60,5,6
174,54,6,6
162,101,4,6
92,54,5,6
175,54,6,6
160,98,4,6
89,57,5,6
178,54,6,6
161,97,4,6
92,58,5,6
175,53,6,6
161,97,4,6
90,56,5,6
174,55,6,6
163,99,4,6
91,58,5,6
179,54,6,6
164,100,4,6
89,56,5,6
177,54,6,6
160,97,4,6
91,58,5,6
178,57,6,6
161,98,4,6
91,58,5,6
175,53,6,6
162,99,4,6
94,57,5,6
177,55,6,6
163,98,4,6
89,58,5,6
176,54,6,6
164,99,4,6
92,58,5,6
173,57,6,6
165,97,4,6
90,59,5,6
178,54,6,6
162,101,4,6
92,58,5,6
178,53,6,6
163,99,4,6
91,59,5,6
178,56,6,6
162,99,4,6
93,58,5,6
176,54,6,6
160,98,4,6
91,58,5,6
178,56,6,6
164,102,4,6
93,57,5,6
179,55,6,6
159,94,4,6
91,56,5,6
176,55,6,6
161,98,4,6
93,58,5,6
178,54,6,6
165,100,4,6
89,57,5,6
177,54,6,6
162,95,4,6
92,59,5,6
176,53,6,6
163,97,4,6
91,58,5,6
178,58,6,6
163,101,4,6
92,59,5,6
177,57,6,6
163,100,4,6
89,56,5,6
177,54,6,6
162,101,4,6
93,59,5,6
179,54,6,6
161,99,4,6
90,57,5,6
172,56,6,6
161,96,4,6
91,59,5,6
176,55,6,6
164,97,4,6
90,57,5,6
176,55,6,6
164,100,4,6
90,57,5,6
174,54,6,6
159,97,4,6
90,55,5,6
177,54,6,6
158,99,4,6
93,62,5,6
174,53,6,6
161,99,4,6
89,59,5,6
176,52,6,6
164,98,4,6
89,59,5,6
176,56,6,6
163,97,4,6
92,56,5,6
175,55,6,6
162,98,4,6
94,54,5,6
175,55,6,6
163,96,4,6
92,61,5,6
176,53,6,6
162,96,4,6
91,54,5,6
177,57,6,6
164,100,4,6
92,56,5,6
175,53,6,6
160,98,4,6
90,58,5,6
177,53,6,6
164,100,4,6
89,58,5,6
173,54,6,6
162,98,4,6
90,57,5,6
174,54,6,6
162,97,4,6
91,58,5,6
176,54,6,6
162,99,4,6
90,57,5,6
177,54,6,6
161,99,4,6
92,57,5,6
176,57,6,6
163,98,4,6
91,58,5,6
176,55,6,6
162,98,4,6
91,58,5,6
177,54,6,6
163,96,4,6
93,58,5,6
177,53,6,6
163,101,4,6
89,57,5,6
179,55,6,6
160,100,4,6
89,56,5,6
176,55,6,6
161,99,4,6
90,57,5,6
176,53,6,6
161,98,4,6
90,56,5,6
177,54,6,6
163,95,4,6
93,56,5,6
176,54,6,6
160,97,4,6
90,59,5,6
177,54,6,6
163,98,4,6
91,58,5,6
175,54,6,6
163,97,4,6
91,58,5,6
177,53,6,6
161,98,4,6
92,58,5,6
177,55,6,6
161,97,4,6
92,59,5,6
177,56,6,6
162,94,4,6
90,56,5,6
179,58,6,6
162,97,4,6
93,59,5,6
173,55,6,6
161,99,4,6
92,57,5,6
178,56,6,6
163,98,4,6
93,59,5,6
176,55,6,6
163,98,4,6
90,59,5,6
174,53,6,6
161,96,4,6
92,57,5,6
177,55,6,6
163,97,4,6
88,58,5,6
177,54,6,6
161,96,4,6
90,59,5,6
176,55,6,6
160,97,4,6
92,59,5,6
174,57,6,6
162,97,4,6
91,58,5,6
178,55,6,6
162,98,4,6
91,59,5,6
175,54,6,6
164,99,4,6
91,57,5,6
177,54,6,6
163,98,4,6
93,58,5,6
176,56,6,6
163,98,4,6
90,58,5,6
176,54,6,6
162,97,4,6
90,56,5,6
175,54,6,6
162,99,4,6
90,56,5,6
176,55,6,6
164,98,4,6
89,58,5,6
176,56,6,6
164,98,4,6
92,55,5,6
174,55,6,6
163,98,4,6
93,56,5,6
177,56,6,6
164,100,4,6
91,61,5,6
178,55,6,6
163,100,4,6
91,59,5,6
176,56,6,6
161,97,4,6
90,58,5,6
176,53,6,6
163,99,4,6
91,59,5,6
177,54,6,6
162,96,4,6
88,58,5,6
177,56,6,6
161,98,4,6
91,58,5,6
176,56,6,6
161,99,4,6
90,56,5,6
172,52,6,6
162,101,4,6
90,56,5,6
179,56,6,6
163,99,4,6
92,59,5,6
176,56,6,6
160,98,4,6
91,53,5,6
178,55,6,6
161,100,4,6
91,57,5,6
179,55,6,6
164,98,4,6
91,59,5,6
176,53,6,6
161,99,4,6
91,55,5,6
178,54,6,6
161,97,4,6
89,55,5,6
174,55,6,6
160,98,4,6
92,58,5,6
176,54,6,6
164,100,4,6
87,57,5,6
178,57,6,6
161,98,4,6
94,58,5,6
175,54,6,6
160,96,4,6
92,56,5,6
177,55,6,6
164,98,4,6
89,57,5,6
178,54,6,6
166,98,4,6
90,60,5,6
178,56,6,6
164,101,4,6
92,58,5,6
176,53,6,6
163,98,4,6
94,57,5,6
175,57,6,6
164,99,4,6
91,55,5,6
176,54,6,6
161,98,4,6
90,59,5,6
175,55,6,6
163,98,4,6
92,59,5,6
179,57,6,6
160,97,4,6
88,54,5,6
178,53,6,6
162,98,4,6
91,60,5,6
174,53,6,6
160,97,4,6
90,59,5,6
176,55,6,6
162,100,4,6
92,59,5,6
177,55,6,6
165,99,4,6
90,58,5,6
174,55,6,6
164,100,4,6
90,59,5,6
177,55,6,6
160,100,4,6
91,58,5,6
177,54,6,6
163,100,4,6
92,60,5,6
178,54,6,6
162,100,4,6
90,57,5,6
174,55,6,6
161,99,4,6
91,58,5,6
178,55,6,6
161,100,4,6
91,61,5,6
174,55,6,6
161,97,4,6
91,57,5,6
177,56,6,6
162,97,4,6
90,56,5,6
179,54,6,6
161,99,4,6
91,55,5,6
176,52,6,6
162,98,4,6
90,55,5,6
177,51,6,6
161,96,4,6
91,58,5,6
176,53,6,6
163,99,4,6
91,58,5,6
179,55,6,6
161,102,4,6
90,58,5,6
177,56,6,6
159,97,4,6
90,57,5,6
177,57,6,6
160,100,4,6
93,57,5,6
176,54,6,6
163,96,4,6
91,57,5,6
175,55,6,6
160,100,4,6
91,56,5,6
176,53,6,6
161,99,4,6
90,57,5,6
176,53,6,6
161,96,4,6
93,59,5,6
177,56,6,6
161,98,4,6
89,56,5,6
173,56,6,6
162,98,4,6
89,56,5,6
175,53,6,6
163,99,4,6
92,57,5,6
177,54,6,6
163,97,4,6
90,56,5,6
176,55,6,6
162,96,4,6
90,55,5,6
174,54,6,6
163,99,4,6
92,57,5,6
178,54,6,6
164,98,4,6
91,58,5,6
176,55,6,6
163,96,4,6
92,58,5,6
177,54,6,6
162,98,4,6
90,55,5,6
176,55,6,6
161,97,4,6
92,58,5,6
177,54,6,6
164,97,4,6
90,58,5,6
177,56,6,6
162,97,4,6
89,59,5,6
175,53,6,6
160,96,4,6
91,58,5,6
177,55,6,6
162,100,4,6
91,55,5,6
175,55,6,6
161,98,4,6
91,56,5,6
174,54,6,6
162,99,4,6
94,55,5,6
177,53,6,6
164,99,4,6
89,60,5,6
175,56,6,6
162,99,4,6
91,57,5,6
179,57,6,6
163,98,4,6
91,57,5,6
176,55,6,6
159,100,4,6
91,57,5,6
175,55,6,6
158,98,4,6
89,55,5,6
176,53,6,6
163,99,4,6
92,59,5,6
176,52,6,6
164,99,4,6
91,56,5,6
174,55,6,6
161,98,4,6
92,59,5,6
175,54,6,6
160,98,4,6
89,57,5,6
176,55,6,6
162,99,4,6
90,60,5,6
179,55,6,6
162,98,4,6
92,57,5,6
176,57,6,6
164,99,4,6
90,56,5,6
177,57,6,6
163,95,4,6
92,59,5,6
175,53,6,6
162,98,4,6
90,58,5,6
174,56,6,6
162,98,4,6
90,58,5,6
175,54,6,6
163,96,4,6
90,57,5,6
175,57,6,6
163,95,4,6
93,61,5,6
175,56,6,6
161,98,4,6
90,58,5,6
175,55,6,6
162,98,4,6
90,59,5,6
177,55,6,6
160,100,4,6
91,59,5,6
178,55,6,6
164,98,4,6
90,58,5,6
179,55,6,6
163,98,4,6
93,59,5,6
175,55,6,6
162,100,4,6
91,57,5,6
175,57,6,6
163,97,4,6
93,58,5,6
177,57,6,6
162,101,4,6
94,59,5,6
174,56,6,6
163,98,4,6
91,57,5,6
175,54,6,6
162,97,4,6
89,56,5,6
177,56,6,6
161,97,4,6
93,59,5,6
176,54,6,6
164,100,4,6
90,57,5,6
176,57,6,6
162,99,4,6
90,56,5,6
177,58,6,6
163,100,4,6
89,57,5,6
177,52,6,6
162,98,4,6
95,54,5,6
175,55,6,6
162,97,4,6
90,59,5,6
177,55,6,6
160,100,4,6
90,59,5,6
177,56,6,6
162,97,4,6
89,54,5,6
178,55,6,6
165,98,4,6
93,60,5,6
176,55,6,6
165,99,4,6
94,60,5,6
178,52,6,6
161,99,4,6
88,57,5,6
176,53,6,6
163,98,4,6
92,56,5,6
177,55,6,6
160,97,4,6
93,56,5,6
177,54,6,6
164,98,4,6
89,57,5,6
176,55,6,6
163,97,4,6
91,58,5,6
176,54,6,6
163,97,4,6
93,56,5,6
176,55,6,6
164,101,4,6
92,57,5,6
176,55,6,6
162,99,4,6
90,55,5,6
176,55,6,6
160,97,4,6
92,58,5,6
177,53,6,6
162,99,4,6
90,55,5,6
174,56,6,6
163,98,4,6
92,60,5,6
174,56,6,6
161,98,4,6
89,57,5,6
177,55,6,6
161,99,4,6
91,59,5,6
179,55,6,6
161,97,4,6
90,58,5,6
177,53,6,6
162,95,4,6
91,56,5,6
175,55,6,6
161,97,4,6
92,58,5,6
176,54,6,6
162,100,4,6
90,57,5,6
173,54,6,6
161,97,4,6
90,57,5,6
178,56,6,6
162,102,4,6
91,56,5,6
175,56,6,6
161,96,4,6
91,58,5,6
176,56,6,6
165,98,4,6
90,57,5,6
176,52,6,6
160,99,4,6
92,56,5,6
174,56,6,6
161,98,4,6
93,59,5,6
175,55,6,6
165,100,4,6
92,58,5,6
175,54,6,6
164,97,4,6
91,58,5,6
173,55,6,6
163,96,4,6
88,55,5,6
178,51,6,6
163,97,4,6
89,59,5,6
178,52,6,6
162,99,4,6
93,58,5,6
177,53,6,6
163,97,4,6
92,56,5,6
178,55,6,6
160,99,4,6
87,59,5,6
175,56,6,6
165,97,4,6
92,55,5,6
175,52,6,6
162,96,4,6
88,57,5,6
175,54,6,6
162,96,4,6
92,57,5,6
176,54,6,6
163,100,4,6
91,57,5,6
175,55,6,6
163,101,4,6
92,57,5,6
178,56,6,6
162,99,4,6
92,57,5,6
176,56,6,6
164,98,4,6
92,54,5,6
177,53,6,6
162,98,4,6
92,57,5,6
176,54,6,6
163,96,4,6
91,56,5,6
175,57,6,6
164,98,4,6
91,59,5,6
175,55,6,6
161,99,4,6
89,59,5,6
175,56,6,6
163,99,4,6
89,59,5,6
177,53,6,6
160,100,4,6
93,56,5,6
176,54,6,6
161,98,4,6
93,56,5,6
176,54,6,6
163,101,4,6
90,60,5,6
176,57,6,6
161,98,4,6
90,57,5,6
177,54,6,6
162,98,4,6
92,59,5,6
178,53,6,6
159,99,4,6
89,58,5,6
178,57,6,6
162,101,4,6
92,56,5,6
179,53,6,6
161,100,4,6
90,60,5,6
176,52,6,6
162,97,4,6
89,56,5,6
178,54,6,6
161,99,4,6
92,59,5,6
177,54,6,6
164,100,4,6
92,57,5,6
175,56,6,6
159,98,4,6
90,57,5,6
176,53,6,6
161,98,4,6
92,57,5,6
177,55,6,6
163,98,4,6
92,57,5,6
175,55,6,6
161,97,4,6
89,58,5,6
178,53,6,6
160,100,4,6
88,57,5,6
176,54,6,6
162,99,4,6
90,59,5,6
176,57,6,6
163,99,4,6
95,57,5,6
175,53,6,6
160,98,4,6
92,55,5,6
175,53,6,6
162,95,4,6
93,56,5,6
176,56,6,6
162,96,4,6
91,60,5,6
176,55,6,6
162,101,4,6
92,56,5,6
176,53,6,6
161,98,4,6
89,57,5,6
174,59,6,6
164,100,4,6
91,56,5,6
178,52,6,6
161,98,4,6
91,60,5,6
177,54,6,6
162,99,4,6
89,59,5,6
179,53,6,6
163,97,4,6
92,57,5,6
177,54,6,6
162,98,4,6
92,58,5,6
180,56,6,6
164,99,4,6
89,59,5,6
175,53,6,6
163,99,4,6
87,59,5,6
177,54,6,6
162,99,4,6
89,59,5,6
177,57,6,6
162,99,4,6
91,57,5,6
177,59,6,6
162,99,4,6
91,58,5,6
175,54,6,6
165,96,4,6
92,58,5,6
175,54,6,6
159,98,4,6
92,57,5,6
177,53,6,6
164,97,4,6
92,58,5,6
175,54,6,6
164,98,4,6
92,56,5,6
175,53,6,6
162,99,4,6
91,55,5,6
177,54,6,6
162,99,4,6
91,58,5,6
177,56,6,6
163,100,4,6
91,59,5,6
177,57,6,6
163,98,4,6
92,57,5,6
176,54,6,6
162,100,4,6
91,57,5,6
175,55,6,6
162,99,4,6
91,57,5,6
176,55,6,6
161,98,4,6
89,56,5,6
176,56,6,6
161,100,4,6
91,58,5,6
178,54,6,6
160,96,4,6
91,58,5,6
178,54,6,6
161,102,4,6
93,59,5,6
176,54,6,6
164,98,4,6
91,57,5,6
178,53,6,6
161,98,4,6
89,58,5,6
176,55,6,6
162,97,4,6
90,58,5,6
176,55,6,6
161,96,4,6
92,56,5,6
178,57,6,6
164,98,4,6
89,59,5,6
175,54,6,6
162,98,4,6
92,59,5,6
178,55,6,6
163,99,4,6
93,57,5,6
175,55,6,6
163,99,4,6
92,55,5,6
177,55,6,6
160,95,4,6
91,59,5,6
176,53,6,6
162,98,4,6
90,58,5,6
178,53,6,6
162,98,4,6
90,59,5,6
178,54,6,6
162,98,4,6
90,57,5,6
176,54,6,6
161,99,4,6
91,58,5,6
175,54,6,6
164,99,4,6
92,56,5,6
177,54,6,6
163,97,4,6
92,57,5,6
175,53,6,6
162,100,4,6
93,56,5,6
179,54,6,6
163,96,4,6
93,58,5,6
176,53,6,6
160,98,4,6
93,59,5,6
179,55,6,6
164,98,4,6
90,57,5,6
175,55,6,6
162,98,4,6
89,59,5,6
179,54,6,6
158,98,4,6
88,57,5,6
175,55,6,6
164,98,4,6
89,54,5,6
177,53,6,6
160,98,4,6
95,58,5,6
176,55,6,6
162,96,4,6
90,56,5,6
176,53,6,6
162,99,4,6
94,59,5,6
177,51,6,6
160,100,4,6
93,57,5,6
178,56,6,6
160,96,4,6
88,55,5,6
175,53,6,6
161,102,4,6
88,58,5,6
176,56,6,6
162,99,4,6
91,59,5,6
175,56,6,6
160,98,4,6
91,56,5,6
177,57,6,6
164,100,4,6
91,56,5,6
176,55,6,6
161,98,4,6
93,59,5,6
176,54,6,6
160,98,4,6
89,57,5,6
176,56,6,6
162,96,4,6
92,56,5,6
174,54,6,6
163,98,4,6
91,57,5,6
178,55,6,6
162,99,4,6
89,59,5,6
176,55,6,6
163,101,4,6
89,58,5,6
177,54,6,6
160,98,4,6
90,57,5,6
179,55,6,6
161,99,4,6
93,57,5,6
177,55,6,6
161,97,4,6
91,60,5,6
177,54,6,6
166,97,4,6
92,58,5,6
174,54,6,6
162,97,4,6
91,59,5,6
177,53,6,6
163,96,4,6
93,58,5,6
177,54,6,6
161,98,4,6
93,58,5,6
176,56,6,6
162,100,4,6
91,57,5,6
178,55,6,6
160,97,4,6
91,57,5,6
178,54,6,6
162,98,4,6
91,58,5,6
175,56,6,6
162,100,4,6
92,59,5,6
178,56,6,6
163,98,4,6
91,59,5,6
178,55,6,6
162,98,4,6
90,57,5,6
175,56,6,6
160,99,4,6
92,58,5,6
175,54,6,6
163,98,4,6
88,56,5,6
176,55,6,6
163,97,4,6
91,59,5,6
178,55,6,6
161,100,4,6
91,57,5,6
176,55,6,6
164,102,4,6
92,58,5,6
177,57,6,6
161,98,4,6
93,58,5,6
178,59,6,6
163,96,4,6
91,62,5,6
180,57,6,6
161,96,4,6
90,60,5,6
177,55,6,6
164,99,4,6
90,58,5,6
174,55,6,6
161,97,4,6
91,60,5,6
177,60,6,6
162,97,4,6
92,58,5,6
174,57,6,6
164,101,4,6
89,55,5,6
177,52,6,6
160,99,4,6
90,56,5,6
177,53,6,6
163,96,4,6
89,59,5,6
175,54,6,6
161,98,4,6
91,58,5,6
178,53,6,6
160,97,4,6
91,56,5,6
177,55,6,6
163,100,4,6
93,58,5,6
176,53,6,6
163,99,4,6
91,58,5,6
177,53,6,6
163,98,4,6
91,59,5,6
176,53,6,6
163,98,4,6
92,58,5,6
177,56,6,6
163,98,4,6
92,56,5,6
177,55,6,6
165,97,4,6
92,59,5,6
177,54,6,6
162,96,4,6
92,58,5,6
177,55,6,6
161,97,4,6
92,59,5,6
177,53,6,6
163,100,4,6
91,58,5,6
176,54,6,6
161,99,4,6
90,57,5,6
174,56,6,6
162,97,4,6
91,57,5,6
177,54,6,6
162,100,4,6
90,57,5,6
175,56,6,6
163,97,4,6
89,58,5,6
178,54,6,6
162,97,4,6
92,56,5,6
177,57,6,6
161,98,4,6
93,59,5,6
178,52,6,6
160,99,4,6
90,59,5,6
178,56,6,6
162,99,4,6
91,57,5,6
178,55,6,6
161,99,4,6
92,58,5,6
176,55,6,6
161,98,4,6
90,59,5,6
176,54,6,6
162,98,4,6
92,56,5,6
175,57,6,6
160,99,4,6
94,58,5,6
175,55,6,6
160,96,4,6
93,58,5,6
176,55,6,6
161,100,4,6
91,55,5,6
177,54,6,6
160,99,4,6
88,56,5,6
176,53,6,6
164,98,4,6
93,59,5,6
177,55,6,6
164,99,4,6
91,59,5,6
176,56,6,6
162,99,4,6
90,59,5,6
176,54,6,6
163,98,4,6
92,60,5,6
178,56,6,6
161,99,4,6
93,60,5,6
175,56,6,6
161,95,4,6
92,56,5,6
176,53,6,6
163,102,4,6
93,59,5,6
175,52,6,6
162,97,4,6
89,54,5,6
176,52,6,6
163,95,4,6
93,58,5,6
175,55,6,6
163,98,4,6
92,57,5,6
176,55,6,6
166,96,4,6
91,59,5,6
177,54,6,6
161,98,4,6
92,57,5,6
176,53,6,6
163,101,4,6
91,58,5,6
178,53,6,6
159,101,4,6
91,59,5,6
176,54,6,6
164,99,4,6
90,57,5,6
175,57,6,6
160,99,4,6
90,55,5,6
177,54,6,6
160,97,4,6
93,60,5,6
176,57,6,6
164,96,4,6
89,57,5,6
173,56,6,6
161,99,4,6
90,56,5,6
177,55,6,6
161,97,4,6
93,58,5,6
176,55,6,6
162,100,4,6
89,57,5,6
176,53,6,6
160,97,4,6
90,59,5,6
176,56,6,6
166,96,4,6
92,59,5,6
176,53,6,6
163,98,4,6
89,56,5,6
178,54,6,6
164,97,4,6
92,57,5,6
178,55,6,6
163,98,4,6
90,58,5,6
176,53,6,6
157,96,4,6
92,55,5,6
175,53,6,6
162,100,4,6
91,57,5,6
177,55,6,6
161,99,4,6
91,59,5,6
178,53,6,6
164,97,4,6
91,56,5,6
179,54,6,6
158,97,4,6
